商品分类,商品名称,秒杀数量,秒杀价格,现价,原价,折扣率,秒杀时间,链接地址
食品生鲜,悦谷百味 糯米 1kg（无添加 五谷杂粮 东北 粗粮 江米 黏米 粽子米 大米伴,2000,9.9,13.80,28.8,0.34,明日08:00开抢,http://item.jd.com/5631902.html
食品生鲜,粮田世家 精品 黑米 400g（无添加 无染色  东北 五谷 杂粮 粗粮 大米 ,5000,7.8,10.90,21.8,0.36,明日08:00开抢,http://item.jd.com/5175069.html
食品生鲜,三只松鼠 蜜饯果干 休闲零食 芒果干116g/袋,8000,9.9,11.90,25.9,0.38,明日08:00开抢,http://item.jd.com/2542893.html
食品生鲜,三只松鼠_蟹黄味瓜子仁218g休闲零食特产炒货葵花籽仁蟹黄味,6000,9.9,9.90,25,0.4,明日08:00开抢,http://item.jd.com/1021393748.html
食品生鲜,三只松鼠_蟹香蚕豆205g休闲零食特产炒货小吃,6000,9.9,9.90,25,0.4,明日08:00开抢,http://item.jd.com/1023208012.html
食品生鲜,小朱家村 石板大米 东北大米 响水大米 400g  2017新米,4000,5.1,9.90,12.5,0.41,明日08:00开抢,http://item.jd.com/5519143.html
食品生鲜,三只松鼠_兰花豆205g休闲零食小吃坚果炒货蚕豆,6000,9.9,9.90,21,0.47,明日08:00开抢,http://item.jd.com/1052437910.html
食品生鲜,三只松鼠_多味花生205g休闲零食坚果炒货花生米,6000,9.9,9.90,21,0.47,明日08:00开抢,http://item.jd.com/1052438790.html
食品生鲜,新良水磨糯米粉 汤圆芋圆冰皮年糕糍粑面粉 500g,10000,6.6,11.80,11.8,0.56,明日08:00开抢,http://item.jd.com/4872414.html
食品生鲜,汀福 水磨糯米粉 500g 烘焙原料 汤圆冰皮月饼年糕糍粑粉,10000,5.9,9.90,9.9,0.6,明日08:00开抢,http://item.jd.com/2430245.html
食品生鲜,北纯 东北五谷杂粮 小米400g(真空包装）,4000,6.9,10.90,10.9,0.63,明日08:00开抢,http://item.jd.com/1552970.html
食品生鲜,三只松鼠 蜜饯果干 紫薯仔100g/袋,3000,9.9,11.90,14.9,0.66,明日08:00开抢,http://item.jd.com/5943569.html
食品生鲜,三只松鼠休闲零食特产炒货小吃_蟹香蚕豆110g,3000,9.9,9.90,13.9,0.71,明日08:00开抢,http://item.jd.com/4803350.html
食品生鲜,三只松鼠零食特产天津风味小麻花黑糖味俏蛮腰麻花112g/袋,8000,9.9,12.90,12.9,0.77,明日08:00开抢,http://item.jd.com/4438331.html
食品生鲜,北纯 东北五谷杂粮 糯米400g(真空包装）,4000,6.9,8.90,8.9,0.78,明日08:00开抢,http://item.jd.com/1552978.html
食品生鲜,伊利哈密瓜味牛奶片32g/袋,1000,3.2,3.50,3.9,0.82,明日08:00开抢,http://item.jd.com/4839153.html
食品生鲜,伊利蓝莓味牛奶片32g/袋,1000,3.2,3.50,3.9,0.82,明日08:00开抢,http://item.jd.com/4839155.html
食品生鲜,伊利原味牛奶片32g/袋,1000,3.2,3.50,3.9,0.82,明日08:00开抢,http://item.jd.com/4839157.html
食品生鲜,伊利草莓味牛奶片32g/袋,1000,3.2,3.50,3.9,0.82,明日08:00开抢,http://item.jd.com/5392568.html
食品生鲜,伊利甜橙味牛奶片32g/袋,1000,3.2,3.50,3.9,0.82,明日08:00开抢,http://item.jd.com/5392572.html
食品生鲜,三只松鼠休闲零食特产小米锅巴麻辣味小贱小米锅巴60g/袋,3000,8.9,8.90,9.9,0.9,明日08:00开抢,http://item.jd.com/3343742.html
食品生鲜,白鲨 baisha 水磨糯米粉 艾草青团雪梅娘汤圆粉 糯米糍冰皮月饼南瓜饼500,10000,7.9,8.50,8.5,0.93,明日08:00开抢,http://item.jd.com/5255151.html
食品生鲜,伊利酸奶味奶片 46g/袋,1000,6.5,6.90,6.9,0.94,明日08:00开抢,http://item.jd.com/5835736.html
